Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
21.30,0,0.0627791624490469535507818842,0.062779162449047,0.0622589071466817,0.062779162449047,0.0622589071466817,0,0.0000000,0.0000000,0,4.1846632658358313128099855587,43.659924416279843423100168395,51.320594403100204065355047687,1559087000
21.31,0,0.0627772332653285255507818842,0.0627772332653285,0.0622574495788184,0.0627772332653285,0.0622574495788184,0,0.0000000,0.0000000,0,4.1840003739202803777219765442,43.652748954511352174587861211,51.316480775933843207627484232,1559819000
21.32,0,0.0627753053487779395507818842,0.0627753053487779,0.0622559926363489,0.0627753053487779,0.0622559926363489,0,0.0000000,0.0000000,0,4.1833374321403778883286620935,43.645595647461711631503816613,51.312381819969606774250954123,1560551000
21.33,0,0.0627733789200097315507818842,0.0627733789200097,0.0622545365410524,0.0627733789200097,0.0622545365410524,0,0.0000000,0.0000000,0,4.1826751920595702154422740198,43.638416358653065990963606569,51.308265390735182817339673265,1561283000
21.34,0,0.0627714647014030005507818842,0.062771464701403,0.0622530920164699,0.062771464701403,0.0622530920164699,0,0.0000000,0.0000000,0,4.1820133726200817580041125424,43.63127401491394147171551075,51.304172205017658386103954232,1562015000
21.35,0,0.0627695417470772295507818842,0.0627695417470772,0.0622516381178805,0.0627695417470772,0.0622516381178805,0,0.0000000,0.0000000,0,4.1813521738731789149554778781,43.624115491322019029450142423,51.300067941611554157961711261,1562747000
21.36,0,0.0627676312772634265507818842,0.0627676312772634,0.0622501960666717,0.0627676312772634,0.0622501960666717,0,0.0000000,0.0000000,0,4.1806909731519390571086018446,43.616978014711150011026905316,51.295977521882572837251119563,1563479000
21.37,0,0.0627657219734673975507818842,0.0627657219734674,0.0622487545455036,0.0627657219734674,0.0622487545455036,0,0.0000000,0.0000000,0,4.1800303893728052594478074589,43.609816203539661880623737689,51.291870806329260133436991337,1564211000
21.38,0,0.0627638049727388535507818842,0.0627638049727388,0.0622473046925773,0.0627638049727388,0.0622473046925773,0,0.0000000,0.0000000,0,4.1793702483526785688283493379,43.602690804331178992606115019,51.287786917952202074859628557,1564943000
21.39,0,0.0627618994532696765507818842,0.0627618994532697,0.0622458656872337,0.0627618994532697,0.0622458656872337,0,0.0000000,0.0000000,0,4.1787105759172977081485048979,43.59554247011291196464802019,51.283687884906295194566994244,1565675000
