Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
17.10,4,0.0845635957907711174076591771,0.103578468774107,0.102602677872139,0.0849770913967785,0.0839989177128788,0.263112858314483,0.2696291296206995012803620085,0.1856007560741693012803620085,0.0840283735465302,3.8621520585172759127602677544,53.869713761043349411137910503,53.869710525560135470040311925,1353858000
17.11,4,0.0845596281300682804076591771,0.103570540462047,0.102595843044558,0.0849731043351709,0.0839960268059292,0.263056558574494,0.2695724902505773823952213524,0.1855577357467063823952213524,0.084014754503871,3.8613407590432536417899822181,53.864478229593229972314391244,53.864474991294686453711939546,1354650000
17.12,4,0.0845556658281774314076591771,0.103562622711855,0.102589016939625,0.0849691226585786,0.0839931394402822,0.26300033280752,0.2695159252817364199609645272,0.1855147614349659199609645272,0.0840011638467705,3.8605305252894808268213402108,53.859239275312147092049395714,53.85923603419840253497710793,1355442000
17.13,4,0.0845517070192809014076591771,0.10355471297802,0.102582197015953,0.0849651444920606,0.0839902537451313,0.262944171489151,0.2694594250356889604600785018,0.1854718235291807604600785018,0.0839876015065082,3.8597212186218186584457300157,53.854016369990210974460521475,53.854013126064909106510169255,1356234000
17.14,4,0.0845477517019153184076591771,0.103546812557297,0.102575384574408,0.0849611698341462,0.0839873697231289,0.262888093184621,0.2694030081231911239439365984,0.1854289407088304239439365984,0.0839740674143607,3.8589131056197397596502376293,53.848789075847848996737347104,53.84878582911110920221771274,1357025000
17.15,4,0.0845438018379652104076591771,0.103538922110646,0.102568580280051,0.0849572006563132,0.0839844893498641,0.262832079083516,0.2693466558260400925337227623,0.1853860943244329925337227623,0.0839605615016071,3.858105918164720726652065015,53.843571838593707314528109905,53.843568589048091409867671406,1357817000
17.16,4,0.0845398654626296014076591771,0.103531049673692,0.102561792172599,0.0849532450330507,0.083981620703926,0.262776128347829,0.2692903678690936057828975048,0.1853432841695683057828975048,0.0839470836995253,3.857299652315649614833995892,53.838360695565471203309194567,53.838357443212838736230003883,1358609000
17.17,4,0.0845359337089969294076591771,0.10352318805378,0.102555013063475,0.0849492940540902,0.0839787548791344,0.262720265851436,0.2692341685641869616885377022,0.1853005346247941616885377022,0.0839336339393928,3.8564946563139171556218367826,53.833148536535564279885404147,53.833145281376731355070557154,1359401000
17.18,4,0.0845319963063772264076591771,0.103515326489397,0.102548232195233,0.0849453373985205,0.0839758815586551,0.262664485653553,0.2691780512346047245061483077,0.1852578390821175245061483077,0.0839202121524872,3.8556908345226372691897668451,53.827951334613914151228131294,53.827948076652739724807249126,1360192000
17.19,4,0.0845280723513675574076591771,0.103507481293439,0.102541465884824,0.0849413942563164,0.0839730199365287,0.262608745939633,0.2691219753058721627351841377,0.1852151570357843627351841377,0.0839068182700878,3.8548876057552438221721971601,53.822753794253469492664981035,53.822750533490299734293160491,1360984000
17.20,4,0.0845241528791805174076591771,0.10349964743547,0.102534709105857,0.0849374556188548,0.0839701610081862,0.26255310391472,0.2690659974930612373489392612,0.1851725452695896373489392612,0.0838934522234716,3.8540857823953305995347023301,53.817551969931677183286611777,53.817548706366927484694405303,1361776000
17.21,4,0.0845202388517209614076591771,0.103491823097123,0.102527960043998,0.0849335224527442,0.083967305744279,0.262497519717744,0.2690100779056384398917369905,0.1851299639617218398917369905,0.0838801139439166,3.853284793053093629890182033,53.812370392345802591415669007,53.812367125984080875186984309,1362567000
